Sat Jun 19 09:48:07 2021 Epoch 56, lr: 0.0000000, val loss: 53.40836, acc: 83.36000
Sat Jun 19 09:49:08 2021 Epoch 23, lr: 0.0001000, val loss: 47.63041, acc: 84.71000
Sat Jun 19 09:49:35 2021 Epoch 57, lr: 0.0000000, val loss: 53.36613, acc: 83.32000
Sat Jun 19 09:50:32 2021 Epoch 24, lr: 0.0001000, val loss: 46.16611, acc: 84.67000
Sat Jun 19 09:51:03 2021 Epoch 58, lr: 0.0000000, val loss: 53.22136, acc: 83.36000
Sat Jun 19 09:51:55 2021 Epoch 25, lr: 0.0001000, val loss: 45.17529, acc: 85.40000
Sat Jun 19 09:52:30 2021 Epoch 59, lr: 0.0000000, val loss: 53.64014, acc: 83.23000
Sat Jun 19 09:53:18 2021 Epoch 26, lr: 0.0001000, val loss: 45.36249, acc: 85.25000
Sat Jun 19 09:53:57 2021 Epoch 60, lr: 0.0000000, val loss: 53.54948, acc: 83.36000
Sat Jun 19 09:54:42 2021 Epoch 27, lr: 0.0001000, val loss: 45.49237, acc: 85.31000
Sat Jun 19 09:55:26 2021 Epoch 61, lr: 0.0000000, val loss: 53.45766, acc: 83.38000
Sat Jun 19 09:56:06 2021 Epoch 28, lr: 0.0001000, val loss: 44.04509, acc: 86.10000
Sat Jun 19 09:56:53 2021 Epoch 62, lr: 0.0000000, val loss: 53.43633, acc: 83.29000
Sat Jun 19 09:57:30 2021 Epoch 29, lr: 0.0001000, val loss: 44.96418, acc: 85.74000
Sat Jun 19 09:58:21 2021 Epoch 63, lr: 0.0000000, val loss: 53.35327, acc: 83.34000
Sat Jun 19 09:58:53 2021 Epoch 30, lr: 0.0001000, val loss: 45.97836, acc: 85.86000
Sat Jun 19 09:59:48 2021 Epoch 64, lr: 0.0000000, val loss: 53.65957, acc: 83.16000
Sat Jun 19 10:00:16 2021 Epoch 31, lr: 0.0001000, val loss: 44.20335, acc: 86.04000
Sat Jun 19 10:01:16 2021 Epoch 65, lr: 0.0000000, val loss: 53.55735, acc: 83.23000
Sat Jun 19 10:01:40 2021 Epoch 32, lr: 0.0000100, val loss: 45.52329, acc: 86.34000
Sat Jun 19 10:02:43 2021 Epoch 66, lr: 0.0000000, val loss: 53.56723, acc: 83.20000
Sat Jun 19 10:03:03 2021 Epoch 33, lr: 0.0000100, val loss: 40.09304, acc: 87.88000
Sat Jun 19 10:04:11 2021 Epoch 67, lr: 0.0000000, val loss: 53.65642, acc: 83.19000
Sat Jun 19 10:04:27 2021 Epoch 34, lr: 0.0000100, val loss: 39.94456, acc: 88.33000
Sat Jun 19 10:05:38 2021 Epoch 68, lr: 0.0000000, val loss: 53.38358, acc: 83.25000
Sat Jun 19 10:05:49 2021 Epoch 35, lr: 0.0000100, val loss: 39.75414, acc: 88.44000
Sat Jun 19 10:07:07 2021 Epoch 69, lr: 0.0000000, val loss: 53.57926, acc: 83.35000
Sat Jun 19 10:07:12 2021 Epoch 36, lr: 0.0000100, val loss: 39.84739, acc: 88.24000
Sat Jun 19 10:08:38 2021 Epoch 37, lr: 0.0000100, val loss: 40.18895, acc: 88.45000
Sat Jun 19 10:08:38 2021 Epoch 70, lr: 0.0000000, val loss: 53.31058, acc: 83.39000
Sat Jun 19 10:10:08 2021 Epoch 38, lr: 0.0000100, val loss: 40.78668, acc: 88.45000
Sat Jun 19 10:10:22 2021 Epoch 71, lr: 0.0000000, val loss: 53.16459, acc: 83.24000
Sat Jun 19 10:11:37 2021 Epoch 39, lr: 0.0000010, val loss: 41.14074, acc: 88.17000
Sat Jun 19 10:12:05 2021 Epoch 72, lr: 0.0000000, val loss: 53.38072, acc: 83.29000
Sat Jun 19 10:13:07 2021 Epoch 40, lr: 0.0000010, val loss: 40.71665, acc: 88.29000
Sat Jun 19 10:13:46 2021 Epoch 73, lr: 0.0000000, val loss: 53.27273, acc: 83.45000
Sat Jun 19 10:14:36 2021 Epoch 41, lr: 0.0000010, val loss: 40.40177, acc: 88.61000
Sat Jun 19 10:15:27 2021 Epoch 74, lr: 0.0000000, val loss: 53.29196, acc: 83.39000
Sat Jun 19 10:16:07 2021 Epoch 42, lr: 0.0000010, val loss: 40.89915, acc: 88.43000
Sat Jun 19 10:17:08 2021 Epoch 75, lr: 0.0000000, val loss: 53.46891, acc: 83.26000
Sat Jun 19 10:17:38 2021 Epoch 43, lr: 0.0000001, val loss: 40.89977, acc: 88.28000
Sat Jun 19 10:18:49 2021 Epoch 76, lr: 0.0000000, val loss: 53.33353, acc: 83.42000
Sat Jun 19 10:19:08 2021 Epoch 44, lr: 0.0000001, val loss: 40.79251, acc: 88.35000
Sat Jun 19 10:20:31 2021 Epoch 77, lr: 0.0000000, val loss: 53.38533, acc: 83.21000
Sat Jun 19 10:20:38 2021 Epoch 45, lr: 0.0000001, val loss: 40.60012, acc: 88.53000
Sat Jun 19 10:22:08 2021 Epoch 46, lr: 0.0000001, val loss: 40.82059, acc: 88.36000
Sat Jun 19 10:22:10 2021 Epoch 78, lr: 0.0000000, val loss: 53.69203, acc: 83.33000
Sat Jun 19 10:23:44 2021 Epoch 47, lr: 0.0000000, val loss: 41.01618, acc: 88.53000
Sat Jun 19 10:24:01 2021 Epoch 79, lr: 0.0000000, val loss: 53.27966, acc: 83.33000
Sat Jun 19 10:25:20 2021 Epoch 48, lr: 0.0000000, val loss: 40.80405, acc: 88.40000
Sat Jun 19 10:25:42 2021 Epoch 80, lr: 0.0000000, val loss: 53.38608, acc: 83.20000
Sat Jun 19 10:26:50 2021 Epoch 49, lr: 0.0000000, val loss: 40.65825, acc: 88.36000
Sat Jun 19 10:27:23 2021 Epoch 81, lr: 0.0000000, val loss: 53.55929, acc: 83.21000
Sat Jun 19 10:28:21 2021 Epoch 50, lr: 0.0000000, val loss: 40.67571, acc: 88.53000
Sat Jun 19 10:29:03 2021 Epoch 82, lr: 0.0000000, val loss: 53.23417, acc: 83.32000
Sat Jun 19 10:29:53 2021 Epoch 51, lr: 0.0000000, val loss: 40.87077, acc: 88.47000
Sat Jun 19 10:30:43 2021 Epoch 83, lr: 0.0000000, val loss: 53.25759, acc: 83.26000
Sat Jun 19 10:31:24 2021 Epoch 52, lr: 0.0000000, val loss: 40.60215, acc: 88.50000
Sat Jun 19 10:32:28 2021 Epoch 84, lr: 0.0000000, val loss: 53.43641, acc: 83.28000
Sat Jun 19 10:33:00 2021 Epoch 53, lr: 0.0000000, val loss: 40.67699, acc: 88.63000
Sat Jun 19 10:34:08 2021 Epoch 85, lr: 0.0000000, val loss: 53.28078, acc: 83.33000
Sat Jun 19 10:34:31 2021 Epoch 54, lr: 0.0000000, val loss: 40.60174, acc: 88.44000
Sat Jun 19 10:35:49 2021 Epoch 86, lr: 0.0000000, val loss: 53.25628, acc: 83.35000
Sat Jun 19 10:36:03 2021 Epoch 55, lr: 0.0000000, val loss: 40.77030, acc: 88.30000
Sat Jun 19 10:37:29 2021 Epoch 87, lr: 0.0000000, val loss: 53.30241, acc: 83.38000
Sat Jun 19 10:37:34 2021 Epoch 56, lr: 0.0000000, val loss: 40.72246, acc: 88.46000
Sat Jun 19 10:39:06 2021 Epoch 57, lr: 0.0000000, val loss: 40.84378, acc: 88.55000
Sat Jun 19 10:39:08 2021 Epoch 88, lr: 0.0000000, val loss: 53.39581, acc: 83.18000
Sat Jun 19 10:40:37 2021 Epoch 58, lr: 0.0000000, val loss: 40.77932, acc: 88.43000
Sat Jun 19 10:40:49 2021 Epoch 89, lr: 0.0000000, val loss: 53.46644, acc: 83.27000
Sat Jun 19 10:42:07 2021 Epoch 59, lr: 0.0000000, val loss: 40.65345, acc: 88.47000
Sat Jun 19 10:42:30 2021 Epoch 90, lr: 0.0000000, val loss: 53.49180, acc: 83.17000
Sat Jun 19 10:43:37 2021 Epoch 60, lr: 0.0000000, val loss: 40.64493, acc: 88.53000
Sat Jun 19 10:44:11 2021 Epoch 91, lr: 0.0000000, val loss: 53.27460, acc: 83.33000
Sat Jun 19 10:45:07 2021 Epoch 61, lr: 0.0000000, val loss: 40.58171, acc: 88.51000
Sat Jun 19 10:45:52 2021 Epoch 92, lr: 0.0000000, val loss: 53.43390, acc: 83.36000
Sat Jun 19 10:46:37 2021 Epoch 62, lr: 0.0000000, val loss: 41.02501, acc: 88.33000
Sat Jun 19 10:47:32 2021 Epoch 93, lr: 0.0000000, val loss: 53.36796, acc: 83.29000
Sat Jun 19 10:48:08 2021 Epoch 63, lr: 0.0000000, val loss: 40.84816, acc: 88.37000
Sat Jun 19 10:49:09 2021 Epoch 94, lr: 0.0000000, val loss: 53.43366, acc: 83.29000
Sat Jun 19 10:49:33 2021 Epoch 64, lr: 0.0000000, val loss: 40.76887, acc: 88.36000
Sat Jun 19 10:50:40 2021 Epoch 95, lr: 0.0000000, val loss: 53.28006, acc: 83.30000
Sat Jun 19 10:50:56 2021 Epoch 65, lr: 0.0000000, val loss: 40.74645, acc: 88.41000
Sat Jun 19 10:52:07 2021 Epoch 96, lr: 0.0000000, val loss: 53.21537, acc: 83.18000
Sat Jun 19 10:52:19 2021 Epoch 66, lr: 0.0000000, val loss: 40.83209, acc: 88.48000
Sat Jun 19 10:53:35 2021 Epoch 97, lr: 0.0000000, val loss: 53.33511, acc: 83.27000
Sat Jun 19 10:53:43 2021 Epoch 67, lr: 0.0000000, val loss: 40.48737, acc: 88.41000
Sat Jun 19 10:55:03 2021 Epoch 98, lr: 0.0000000, val loss: 53.23208, acc: 83.16000
Sat Jun 19 10:55:06 2021 Epoch 68, lr: 0.0000000, val loss: 40.98322, acc: 88.39000
Sat Jun 19 10:56:30 2021 Epoch 69, lr: 0.0000000, val loss: 40.43953, acc: 88.51000
Sat Jun 19 10:56:30 2021 Epoch 99, lr: 0.0000000, val loss: 53.56874, acc: 83.31000
Sat Jun 19 10:57:53 2021 Epoch 70, lr: 0.0000000, val loss: 40.70400, acc: 88.38000
Sat Jun 19 10:59:16 2021 Epoch 71, lr: 0.0000000, val loss: 40.78613, acc: 88.35000
Sat Jun 19 11:00:39 2021 Epoch 72, lr: 0.0000000, val loss: 40.74416, acc: 88.46000
Sat Jun 19 11:02:02 2021 Epoch 73, lr: 0.0000000, val loss: 41.12751, acc: 88.36000
Sat Jun 19 11:03:25 2021 Epoch 74, lr: 0.0000000, val loss: 40.82559, acc: 88.48000
Sat Jun 19 11:04:49 2021 Epoch 75, lr: 0.0000000, val loss: 40.56460, acc: 88.51000
Sat Jun 19 11:06:11 2021 Epoch 76, lr: 0.0000000, val loss: 40.86785, acc: 88.46000
Sat Jun 19 11:07:35 2021 Epoch 77, lr: 0.0000000, val loss: 40.88366, acc: 88.42000
Sat Jun 19 11:08:58 2021 Epoch 78, lr: 0.0000000, val loss: 40.73401, acc: 88.55000
Sat Jun 19 11:10:22 2021 Epoch 79, lr: 0.0000000, val loss: 40.50876, acc: 88.67000
Sat Jun 19 11:11:45 2021 Epoch 80, lr: 0.0000000, val loss: 40.67505, acc: 88.46000
Sat Jun 19 11:13:08 2021 Epoch 81, lr: 0.0000000, val loss: 40.94818, acc: 88.34000
Sat Jun 19 11:14:31 2021 Epoch 82, lr: 0.0000000, val loss: 40.86385, acc: 88.47000
Sat Jun 19 11:15:54 2021 Epoch 83, lr: 0.0000000, val loss: 40.87775, acc: 88.50000
